Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Weight,Variant Weight Unit,Image Src,Image Position,Image Alt Text
modern-desk-lamp-new-1045,Modern Desk Lamp-1045,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1045,LightCraft-1045,Lighting-1045,"desk,lamp,office,modern-1045",True-1045,MDL-001-1045,39.99,49.99,True-1045,True-1045,shopify-1045,25-1045,deny-1045,manual-1045,1.2-1045,kg-1045,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1045,1-1045,Modern desk lamp with adjustable arm-1045
Ergonomic-office-chair-new-1046,Ergonomic Office Chair-1046,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-1046,ComfortSeating-1046,Furniture-1046,"chair,office,ergonomic,furniture-1046",True-1046,EOC-001-1046,189.99,229.99,True-1046,True-1046,shopify-1046,12-1046,deny-1046,manual-1046,15.5-1046,kg-1046,https://images.unsplash.com/photo-1505797149-35ebcb016d74-1046,1-1046,Ergonomic office chair with mesh back-1046
Wireless-bluetooth-speaker-new-1047,Wireless Bluetooth Speaker-1047,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-1047,SoundWave-1047,Electronics-1047,"speaker,bluetooth,wireless,audio-1047",True-1047,WBS-001-1047,79.99,99.99,True-1047,True-1047,shopify-1047,30-1047,deny-1047,manual-1047,0.5-1047,kg-1047,https://images.unsplash.com/photo-1589003077984-894e133dabab-1047,1-1047,Portable Bluetooth speaker-1047
Premium-yoga-mat-new-1048,Premium Yoga Mat-1048,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-1048,ZenFitness-1048,Fitness-1048,"yoga,mat,fitness,exercise-1048",True-1048,PYM-001-1048,45.99,59.99,True-1048,True-1048,shopify-1048,40-1048,deny-1048,manual-1048,1.8-1048,kg-1048,https://images.unsplash.com/photo-1518611012118-696072aa579a-1048,1-1048,Premium yoga mat-1048
Stainless-steel-water-bottle-new-1049,Stainless Steel Water Bottle-1049,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1049,EcoHydrate-1049,Kitchen-1049,"water bottle,stainless steel,eco-friendly,hydration-1049",True-1049,SSWB-001-1049,24.99,29.99,True-1049,True-1049,shopify-1049,50-1049,deny-1049,manual-1049,0.35-1049,kg-1049,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1049,1-1049,Stainless steel water bottle-1049
Handcrafted-ceramic-mug-new-1050,Handcrafted Ceramic Mug-1050,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-1050",ArtisanWares-1050,Kitchen-1050,"mug,ceramic,handcrafted,coffee-1050",True-1050,HCM-001-1050,18.99,24.99,True-1050,True-1050,shopify-1050,20-1050,deny-1050,manual-1050,0.4-1050,kg-1050,https://images.unsplash.com/photo-1577937927533-addefece22c3-1050,1-1050,Handcrafted ceramic mug-1050
Organic-cotton-t-shirt-new-1051,Organic Cotton T-Shirt-1051,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-1051,EcoClothing-1051,Apparel-1051,"t-shirt,organic,cotton,clothing-1051",True-1051,OCTS-001-1051,29.99,34.99,True-1051,True-1051,shopify-1051,30-1051,deny-1051,manual-1051,0.2-1051,kg-1051,https://images.unsplash.com/photo-1581655353564-df123a1eb820-1051,1-1051,Organic cotton t-shirt-1051
Smart-fitness-tracker-new-1052,Smart Fitness Tracker-1052,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-1052",TechFit-1052,Electronics-1052,"fitness,tracker,smartwatch,health-1052",True-1052,SFT-001-1052,89.99,109.99,True-1052,True-1052,shopify-1052,15-1052,deny-1052,manual-1052,0.05-1052,kg-1052,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-1052,1-1052,Smart fitness tracker-1052
Premium-coffee-beans-new-1053,Premium Coffee Beans-1053,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-1053,BeanMaster-1053,Food-1053,"coffee,beans,organic,gourmet-1053",True-1053,PCB-001-1053,14.99,17.99,True-1053,True-1053,shopify-1053,50-1053,deny-1053,manual-1053,0.25-1053,kg-1053,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-1053,1-1053,Premium coffee beans package-1053
Minimalist-wall-clock-new-1054,Minimalist Wall Clock-1054,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-1054,ModernDecor-1054,Home Decor-1054,"clock,wall,minimalist,home decor-1054",True-1054,MWC-001-1054,49.99,59.99,True-1054,True-1054,shopify-1054,18-1054,deny-1054,manual-1054,0.8-1054,kg-1054,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-1054,1-1054,Minimalist wall clock-1054
Stainless-steel-water-bottle-new-1055,Stainless Steel Water Bottle-1055,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1055,EcoHydrate-1055,Kitchen-1055,"water bottle,stainless steel,eco-friendly,hydration-1055",True-1055,SSWB-001-1055,24.99,29.99,True-1055,True-1055,shopify-1055,50-1055,deny-1055,manual-1055,0.35-1055,kg-1055,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1055,1-1055,Stainless steel water bottle-1055
Modern-desk-lamp-new-1056,Modern Desk Lamp-1056,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1056,LightCraft-1056,Lighting-1056,"desk,lamp,office,modern-1056",True-1056,MDL-001-1056,39.99,49.99,True-1056,True-1056,shopify-1056,25-1056,deny-1056,manual-1056,1.2-1056,kg-1056,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1056,1-1056,Modern desk lamp with adjustable arm-1056
Modern-desk-lamp-new-1057,Modern Desk Lamp-1057,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1057,LightCraft-1057,Lighting-1057,"desk,lamp,office,modern-1057",True-1057,MDL-001-1057,39.99,49.99,True-1057,True-1057,shopify-1057,25-1057,deny-1057,manual-1057,1.2-1057,kg-1057,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1057,1-1057,Modern desk lamp with adjustable arm-1057
modern-desk-lamp-new-1058,Modern Desk Lamp-1058,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1058,LightCraft-1058,Lighting-1058,"desk,lamp,office,modern-1058",True-1058,MDL-001-1058,39.99,49.99,True-1058,True-1058,shopify-1058,25-1058,deny-1058,manual-1058,1.2-1058,kg-1058,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1058,1-1058,Modern desk lamp with adjustable arm-1058
Ergonomic-office-chair-new-1059,Ergonomic Office Chair-1059,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-1059,ComfortSeating-1059,Furniture-1059,"chair,office,ergonomic,furniture-1059",True-1059,EOC-001-1059,189.99,229.99,True-1059,True-1059,shopify-1059,12-1059,deny-1059,manual-1059,15.5-1059,kg-1059,https://images.unsplash.com/photo-1505797149-35ebcb016d74-1059,1-1059,Ergonomic office chair with mesh back-1059
Wireless-bluetooth-speaker-new-1060,Wireless Bluetooth Speaker-1060,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-1060,SoundWave-1060,Electronics-1060,"speaker,bluetooth,wireless,audio-1060",True-1060,WBS-001-1060,79.99,99.99,True-1060,True-1060,shopify-1060,30-1060,deny-1060,manual-1060,0.5-1060,kg-1060,https://images.unsplash.com/photo-1589003077984-894e133dabab-1060,1-1060,Portable Bluetooth speaker-1060
Premium-yoga-mat-new-1061,Premium Yoga Mat-1061,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-1061,ZenFitness-1061,Fitness-1061,"yoga,mat,fitness,exercise-1061",True-1061,PYM-001-1061,45.99,59.99,True-1061,True-1061,shopify-1061,40-1061,deny-1061,manual-1061,1.8-1061,kg-1061,https://images.unsplash.com/photo-1518611012118-696072aa579a-1061,1-1061,Premium yoga mat-1061
Stainless-steel-water-bottle-new-1062,Stainless Steel Water Bottle-1062,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1062,EcoHydrate-1062,Kitchen-1062,"water bottle,stainless steel,eco-friendly,hydration-1062",True-1062,SSWB-001-1062,24.99,29.99,True-1062,True-1062,shopify-1062,50-1062,deny-1062,manual-1062,0.35-1062,kg-1062,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1062,1-1062,Stainless steel water bottle-1062
Handcrafted-ceramic-mug-new-1063,Handcrafted Ceramic Mug-1063,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-1063",ArtisanWares-1063,Kitchen-1063,"mug,ceramic,handcrafted,coffee-1063",True-1063,HCM-001-1063,18.99,24.99,True-1063,True-1063,shopify-1063,20-1063,deny-1063,manual-1063,0.4-1063,kg-1063,https://images.unsplash.com/photo-1577937927533-addefece22c3-1063,1-1063,Handcrafted ceramic mug-1063
Organic-cotton-t-shirt-new-1064,Organic Cotton T-Shirt-1064,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-1064,EcoClothing-1064,Apparel-1064,"t-shirt,organic,cotton,clothing-1064",True-1064,OCTS-001-1064,29.99,34.99,True-1064,True-1064,shopify-1064,30-1064,deny-1064,manual-1064,0.2-1064,kg-1064,https://images.unsplash.com/photo-1581655353564-df123a1eb820-1064,1-1064,Organic cotton t-shirt-1064
Smart-fitness-tracker-new-1065,Smart Fitness Tracker-1065,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-1065",TechFit-1065,Electronics-1065,"fitness,tracker,smartwatch,health-1065",True-1065,SFT-001-1065,89.99,109.99,True-1065,True-1065,shopify-1065,15-1065,deny-1065,manual-1065,0.05-1065,kg-1065,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-1065,1-1065,Smart fitness tracker-1065
Premium-coffee-beans-new-1066,Premium Coffee Beans-1066,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-1066,BeanMaster-1066,Food-1066,"coffee,beans,organic,gourmet-1066",True-1066,PCB-001-1066,14.99,17.99,True-1066,True-1066,shopify-1066,50-1066,deny-1066,manual-1066,0.25-1066,kg-1066,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-1066,1-1066,Premium coffee beans package-1066
Minimalist-wall-clock-new-1067,Minimalist Wall Clock-1067,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-1067,ModernDecor-1067,Home Decor-1067,"clock,wall,minimalist,home decor-1067",True-1067,MWC-001-1067,49.99,59.99,True-1067,True-1067,shopify-1067,18-1067,deny-1067,manual-1067,0.8-1067,kg-1067,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-1067,1-1067,Minimalist wall clock-1067
Stainless-steel-water-bottle-new-1068,Stainless Steel Water Bottle-1068,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1068,EcoHydrate-1068,Kitchen-1068,"water bottle,stainless steel,eco-friendly,hydration-1068",True-1068,SSWB-001-1068,24.99,29.99,True-1068,True-1068,shopify-1068,50-1068,deny-1068,manual-1068,0.35-1068,kg-1068,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1068,1-1068,Stainless steel water bottle-1068
Modern-desk-lamp-new-1069,Modern Desk Lamp-1069,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1069,LightCraft-1069,Lighting-1069,"desk,lamp,office,modern-1069",True-1069,MDL-001-1069,39.99,49.99,True-1069,True-1069,shopify-1069,25-1069,deny-1069,manual-1069,1.2-1069,kg-1069,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1069,1-1069,Modern desk lamp with adjustable arm-1069
Modern-desk-lamp-new-1070,Modern Desk Lamp-1070,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1070,LightCraft-1070,Lighting-1070,"desk,lamp,office,modern-1070",True-1070,MDL-001-1070,39.99,49.99,True-1070,True-1070,shopify-1070,25-1070,deny-1070,manual-1070,1.2-1070,kg-1070,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1070,1-1070,Modern desk lamp with adjustable arm-1070
modern-desk-lamp-new-1071,Modern Desk Lamp-1071,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1071,LightCraft-1071,Lighting-1071,"desk,lamp,office,modern-1071",True-1071,MDL-001-1071,39.99,49.99,True-1071,True-1071,shopify-1071,25-1071,deny-1071,manual-1071,1.2-1071,kg-1071,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1071,1-1071,Modern desk lamp with adjustable arm-1071
Ergonomic-office-chair-new-1072,Ergonomic Office Chair-1072,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-1072,ComfortSeating-1072,Furniture-1072,"chair,office,ergonomic,furniture-1072",True-1072,EOC-001-1072,189.99,229.99,True-1072,True-1072,shopify-1072,12-1072,deny-1072,manual-1072,15.5-1072,kg-1072,https://images.unsplash.com/photo-1505797149-35ebcb016d74-1072,1-1072,Ergonomic office chair with mesh back-1072
Wireless-bluetooth-speaker-new-1073,Wireless Bluetooth Speaker-1073,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-1073,SoundWave-1073,Electronics-1073,"speaker,bluetooth,wireless,audio-1073",True-1073,WBS-001-1073,79.99,99.99,True-1073,True-1073,shopify-1073,30-1073,deny-1073,manual-1073,0.5-1073,kg-1073,https://images.unsplash.com/photo-1589003077984-894e133dabab-1073,1-1073,Portable Bluetooth speaker-1073
Premium-yoga-mat-new-1074,Premium Yoga Mat-1074,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-1074,ZenFitness-1074,Fitness-1074,"yoga,mat,fitness,exercise-1074",True-1074,PYM-001-1074,45.99,59.99,True-1074,True-1074,shopify-1074,40-1074,deny-1074,manual-1074,1.8-1074,kg-1074,https://images.unsplash.com/photo-1518611012118-696072aa579a-1074,1-1074,Premium yoga mat-1074
Stainless-steel-water-bottle-new-1075,Stainless Steel Water Bottle-1075,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1075,EcoHydrate-1075,Kitchen-1075,"water bottle,stainless steel,eco-friendly,hydration-1075",True-1075,SSWB-001-1075,24.99,29.99,True-1075,True-1075,shopify-1075,50-1075,deny-1075,manual-1075,0.35-1075,kg-1075,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1075,1-1075,Stainless steel water bottle-1075
Handcrafted-ceramic-mug-new-1076,Handcrafted Ceramic Mug-1076,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-1076",ArtisanWares-1076,Kitchen-1076,"mug,ceramic,handcrafted,coffee-1076",True-1076,HCM-001-1076,18.99,24.99,True-1076,True-1076,shopify-1076,20-1076,deny-1076,manual-1076,0.4-1076,kg-1076,https://images.unsplash.com/photo-1577937927533-addefece22c3-1076,1-1076,Handcrafted ceramic mug-1076
Organic-cotton-t-shirt-new-1077,Organic Cotton T-Shirt-1077,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-1077,EcoClothing-1077,Apparel-1077,"t-shirt,organic,cotton,clothing-1077",True-1077,OCTS-001-1077,29.99,34.99,True-1077,True-1077,shopify-1077,30-1077,deny-1077,manual-1077,0.2-1077,kg-1077,https://images.unsplash.com/photo-1581655353564-df123a1eb820-1077,1-1077,Organic cotton t-shirt-1077
Smart-fitness-tracker-new-1078,Smart Fitness Tracker-1078,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-1078",TechFit-1078,Electronics-1078,"fitness,tracker,smartwatch,health-1078",True-1078,SFT-001-1078,89.99,109.99,True-1078,True-1078,shopify-1078,15-1078,deny-1078,manual-1078,0.05-1078,kg-1078,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-1078,1-1078,Smart fitness tracker-1078
Premium-coffee-beans-new-1079,Premium Coffee Beans-1079,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-1079,BeanMaster-1079,Food-1079,"coffee,beans,organic,gourmet-1079",True-1079,PCB-001-1079,14.99,17.99,True-1079,True-1079,shopify-1079,50-1079,deny-1079,manual-1079,0.25-1079,kg-1079,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-1079,1-1079,Premium coffee beans package-1079
Minimalist-wall-clock-new-1080,Minimalist Wall Clock-1080,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-1080,ModernDecor-1080,Home Decor-1080,"clock,wall,minimalist,home decor-1080",True-1080,MWC-001-1080,49.99,59.99,True-1080,True-1080,shopify-1080,18-1080,deny-1080,manual-1080,0.8-1080,kg-1080,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-1080,1-1080,Minimalist wall clock-1080
Stainless-steel-water-bottle-new-1081,Stainless Steel Water Bottle-1081,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1081,EcoHydrate-1081,Kitchen-1081,"water bottle,stainless steel,eco-friendly,hydration-1081",True-1081,SSWB-001-1081,24.99,29.99,True-1081,True-1081,shopify-1081,50-1081,deny-1081,manual-1081,0.35-1081,kg-1081,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1081,1-1081,Stainless steel water bottle-1081
Modern-desk-lamp-new-1082,Modern Desk Lamp-1082,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1082,LightCraft-1082,Lighting-1082,"desk,lamp,office,modern-1082",True-1082,MDL-001-1082,39.99,49.99,True-1082,True-1082,shopify-1082,25-1082,deny-1082,manual-1082,1.2-1082,kg-1082,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1082,1-1082,Modern desk lamp with adjustable arm-1082
Modern-desk-lamp-new-1083,Modern Desk Lamp-1083,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1083,LightCraft-1083,Lighting-1083,"desk,lamp,office,modern-1083",True-1083,MDL-001-1083,39.99,49.99,True-1083,True-1083,shopify-1083,25-1083,deny-1083,manual-1083,1.2-1083,kg-1083,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1083,1-1083,Modern desk lamp with adjustable arm-1083
